name,start_time,end_time,report,fuel_type,fuel_price,availability,consider_availability
"fuel_SAN_ISIDRO-TG+TV-FSTVD_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1096.36,1000000,false
"fuel_SAN_JAVIER_1",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1339.34,1000000,false
"fuel_SAN_JAVIER_2",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1339.34,1000000,false
"fuel_SAN_LORENZO_U1",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1170.43,1000000,false
"fuel_SAN_LORENZO_U2",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1170.43,1000000,false
"fuel_SAN_LORENZO_U3",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1170.43,1000000,false
"fuel_SANTA_FE_BL4",1970-01-01-00:00,2100-01-01-00:00,true,biomass,39.31,1000000,false
"fuel_SANTA_LIDIA",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1162,1000000,false
"fuel_TALTAL_1_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1137.16,1000000,false
"fuel_TALTAL_2_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1137.16,1000000,false
"fuel_TARAPACA-TG_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1111.28,1000000,false
"fuel_TENO",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1260.76,1000000,false
"fuel_TENO_GAS_GLP",1970-01-01-00:00,2100-01-01-00:00,true,gas,564.48,1000000,false
"fuel_TERMOPACIFICO",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1449.75,1000000,false
"fuel_TOCOPILLA_U16-TG+TV_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1115.25,1000000,false
"fuel_TOCOPILLA-TG1",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1115.25,1000000,false
"fuel_TOCOPILLA-TG2",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1115.25,1000000,false
"fuel_TOCOPILLA-TG3_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1115.25,1000000,false
"fuel_TRAPEN",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1304.2,1000000,false
"fuel_TRINCAO",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1207.14,1000000,false
"fuel_UJINA_U1_HFO",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,620.68,1000000,false
"fuel_UJINA_U1_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1033.14,1000000,false
"fuel_UJINA_U2_HFO",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,620.68,1000000,false
"fuel_UJINA_U2_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1033.14,1000000,false
"fuel_UJINA_U3_HFO",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,620.68,1000000,false
"fuel_UJINA_U3_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1033.14,1000000,false
"fuel_UJINA_U4_HFO",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,620.68,1000000,false
"fuel_UJINA_U4_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1033.14,1000000,false
"fuel_UJINA_U5_HFO",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,620.68,1000000,false
"fuel_UJINA_U6_HFO",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,620.68,1000000,false
"fuel_VALDIVIA_BL4_EUCA",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,613.82,1000000,false
"fuel_VALDIVIA_BL4_PINO",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,613.82,1000000,false
"fuel_YUNGAY_U1_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1154.84,1000000,false
"fuel_YUNGAY_U2_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1154.84,1000000,false
"fuel_YUNGAY_U3_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1154.84,1000000,false
"fuel_YUNGAY_U4_DIE",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1154.84,1000000,false
"fuel_PAS_MEJILLONES",1970-01-01-00:00,2100-01-01-00:00,true,cogeneration,0,1000000,false
